id	active	fungusLatinName	fungusCommonName	clueRoots	clueButt	clueLowerStem	clueUpperStem	clueBranches	clueFoliage	whyThisFungus	keyDifferentiators	clinicalNotes	examTip	imageRef
1	YES	Armillaria mellea	Honey Fungus	Extensive white mycelial fans visible under bark at root collar when peeled, firm texture and spreading pattern indicative of active colonisation	Black rhizomorphs (bootlaces) visible in soil radiating from base, 2-4mm diameter, tough and string-like, resistant to tearing	No visible external symptoms on bark surface	No visible external symptoms	No visible symptoms on branches	Progressive crown thinning with reduced vigour, leaves smaller than normal, premature autumn colour - crown symptoms indicate root and vascular compromise from below	The combination of white mycelial fans under bark and black rhizomorphs in soil is strongly indicative of Armillaria. No other common fungus produces bootlace-like rhizomorphs. Crown thinning without lower stem symptoms points to root and vascular compromise. Fruiting bodies are frequently absent when crown symptoms are present.	GANODERMA: Woody brackets at base, no rhizomorphs, brown spore deposits. PSEUDOINONOTUS DRYADEUS: Amber droplets on brackets, no rhizomorphs. MERIPILUS: Large rosette fruiting bodies with brown bruising, no rhizomorphs. DISTINGUISHING ARMILLARIA: Rhizomorphs are confined to this genus among common tree pathogens, white mycelial fans under bark, mushroomy odour when bark peeled, frequently no fruiting bodies when crown symptomatic.	Host range: Broad - most broadleaves and conifers susceptible. Primary infection court: Root system and root collar. Decay type: White rot involving simultaneous degradation of lignin and cellulose, producing pale fibrous residue in structural roots. Structural implication: Progressive reduction in anchorage stability with increased susceptibility to root plate rotation under dynamic wind loading. Spread: Root-to-root contact and rhizomorph extension through soil. Progression: Variable - may cause host death within 2-5 years or persist for decades depending on host vigour and site conditions. Risk level: High - aggressive pathogen capable of spreading through tree populations.	If you see rhizomorphs or bootlaces in an exam question = Armillaria mellea until proven otherwise. No other common fungus has these. If mycelial fans under bark at collar = likely Armillaria, definitive if rhizomorphs also present. Remember double-L in Armillaria and double-L in mellea.	armillaria_fans_rhizomorphs
2	YES	Ganoderma australe	Southern Bracket	Root flare excavation reveals soft fibrous pale residue consistent with white rot, spongy texture, structural roots affected	Large hoof-shaped perennial brackets present at root collar, concentrically zoned brown upper surface, white margin when actively growing, hard woody texture with stratified pore tubes	White pore surface visible on underside of brackets, heavy brown spore deposits accumulating on ground and lower bark	No visible symptoms	No visible symptoms	Crown may appear relatively unaffected despite significant root decay - vascular function maintained until late stage of root loss	Brown spore deposits on ground beneath brackets are strongly indicative of the Ganoderma genus. Hoof-shaped woody brackets with zoned brown upper surface and matte finish distinguish G. australe from related species. Root decay progresses while crown condition is maintained - roots fail before vascular function is compromised.	GANODERMA APPLANATUM: Flat shelf form not hoof-shaped, thinner brackets, grey-brown matte surface without concentric colour zoning. GANODERMA RESINACEUM: Resinous lacquered coating on upper surface - G. australe is matte. MERIPILUS: Rosette form at base with brown bruising reaction. PSEUDOINONOTUS DRYADEUS: Amber droplets, rough bracket surface, rust-brown pores. DISTINGUISHING G. AUSTRALE: Hoof-shaped form, concentrically zoned matte brown surface, hard woody texture, heavy spore deposits, white pore surface - all three features together.	Host association: Predominantly Fagus sylvatica and other broadleaves including Quercus spp. Primary infection court: Structural roots and root collar. Decay type: White rot - simultaneous degradation of lignin and cellulose producing pale fibrous residue with progressive reduction in root cross-sectional strength. Tube stratification: Annual pore layers visible in cross section - useful confirmation. Structural implication: Progressive reduction in anchorage stability leading to root plate rotation under dynamic wind loading, often with minimal prior crown warning. Failure mode: Windthrow most common. Bracket growth: Perennial - new pore layer added annually, bracket mass increases over time.	HOOF-SHAPED matte bracket at base = G. australe. FLAT shelf = G. applanatum. SHINY lacquered surface = G. resinaceum. Heavy brown spore deposits confirm Ganoderma genus. Remember: Ganoderma has two N's, australe has no double letters. Australe means southern - think Australia.	ganoderma_australe_hoof
3	YES	Ganoderma applanatum	Artist's Bracket	Root plate excavation reveals white rot in structural roots, stringy fibrous pale residue, roots reduced in cross-sectional integrity	Large flat shelf-like brackets at base, grey-brown upper surface without concentric colour zoning, overlapping tiers common, very hard woody texture	Brackets extend up lower stem, flat shelf form continues, brown spore deposits accumulate on lower bark below brackets	No visible symptoms	No visible symptoms	Crown may appear relatively healthy despite root compromise - typical Ganoderma pattern of maintained vascular function until late root loss	Flat shelf form distinguishes G. applanatum from hoof-shaped G. australe. Grey-brown matte upper surface without concentric colour zoning is characteristic. White pore surface browns permanently when scratched - the feature giving rise to the common name. Prolific spore production creates heavy deposits. Root decay while crown condition is maintained is the typical Ganoderma presentation.	GANODERMA AUSTRALE: Hoof-shaped not flat, concentrically zoned brown matte surface, heavier bracket mass. GANODERMA RESINACEUM: Resinous lacquered coating - G. applanatum is matte and grey-brown. FOMES FOMENTARIUS: Grey hoof-shaped, predominantly on stem not base, beech association. CERIOPORUS SQUAMOSUS: Scaly cap, cream pores, distinct lateral stalk, wound location. DISTINGUISHING G. APPLANATUM: Flat shelf form, grey-brown matte colour without zoning, white pore surface browns when scratched, heavy spore deposits.	Host association: Wide - Fagus, Quercus, Betula and other broadleaves commonly affected. Primary infection court: Structural roots and root collar, can extend higher on stem than G. australe. Decay type: White rot - simultaneous degradation of lignin and cellulose producing pale fibrous residue. Tube stratification: Annual pore layers visible in section - perennial growth with new tube layer each year. Structural implication: Progressive reduction in root anchorage stability, increased susceptibility to root plate rotation under wind loading. Spore production: Among the highest of any bracket fungus - brown deposits are a reliable indicator of bracket presence.	FLAT shelf = G. applanatum. HOOF-shaped = G. australe. Scratch test - if white pore surface browns permanently when scratched = G. applanatum. Remember: applanatum has double-P and double-N. Both letters doubled - remember that pairing.	ganoderma_applanatum_shelf
4	NO	Pseudoinonotus dryadeus	Weeping Oak Polypore	Root collar shows extensive decay, soft and crumbly when probed, structural roots compromised in excavation	Brackets at root collar, rough irregular surface texture, amber droplets visible on upper surface (weeping appearance), bracket underside pores rust-brown	No brackets typically present on lower stem	No visible symptoms	No visible symptoms	Crown may appear relatively healthy despite severe root collar decay - vascular function maintained until late stage	Amber droplets on bracket surface are strongly indicative of Pseudoinonotus dryadeus - no other common fungus produces this amber exudate. Root collar location is specific. Rust-brown pore surface is characteristic. Causes severe root and collar decay while crown condition is maintained.	GANODERMA: Hoof or shelf form, no amber droplets, white pores, brown spores. MERIPILUS: Rosette form, brown bruising reaction, no droplets. CERIOPORUS SQUAMOSUS: Scaly cap, cream pores, stalk present, no droplets. DISTINGUISHING PSEUDOINONOTUS DRYADEUS: Amber droplets on bracket surface are unique among common species, root collar location, rough irregular bracket form, rust-brown pores, predominantly oak.	Host: Predominantly Quercus spp., occasionally Castanea sativa. Primary infection court: Root collar. Amber exudate: Present on actively growing fresh brackets - may dry and leave staining on older specimens. Decay type: White rot of roots and root collar producing soft fibrous residue. Structural implication: Progressive reduction in anchorage stability with increased risk of root plate rotation under dynamic loading. Taxonomy note: Current accepted name is Pseudoinonotus dryadeus - previously listed as Inonotus dryadeus.	AMBER DROPLETS on bracket at OAK ROOT COLLAR = Pseudoinonotus dryadeus. Droplets are unique among common species - no other produces them. Current accepted name is Pseudoinonotus dryadeus - use this in exam answers. Dryadeus refers to dryads (oak tree spirits). Amber weeping = only one answer.	pseudoinonotus_dryadeus_retired
5	YES	Meripilus giganteus	Giant Polypore	Root plate excavation reveals white rot in structural roots, fibrous pale residue, multiple roots affected	Large rosette of overlapping fan-shaped brackets at root collar, total diameter commonly exceeding 1 metre, cream-brown pore surface on underside	Brackets occasionally extend onto lower stem base	No visible symptoms	No visible symptoms	Crown thinning and reduced vigour may be evident - tree showing stress consistent with significant root loss	Rosette form with overlapping fan-shaped brackets is characteristic. Brown to black bruising reaction when fresh bracket tissue is pressed or damaged is a reliable field separation from Grifola frondosa, which does not bruise. Very large overall size. Annual fruiting with soft bracket texture distinguishes from perennial woody brackets such as Ganoderma.	GANODERMA: Hoof or shelf form not rosette, hard woody perennial brackets, no bruising reaction. PSEUDOINONOTUS DRYADEUS: Smaller individual brackets, amber droplets, no bruising reaction. CERIOPORUS SQUAMOSUS: Individual stalked brackets with scaly cap, no bruising reaction. GRIFOLA FRONDOSA: Grey-brown rosette at oak base - critical separation - Grifola does NOT bruise when rubbed, Meripilus bruises brown to black. DISTINGUISHING MERIPILUS: Rosette form, bruising reaction (brown to black on fresh tissue), very large overall size, annual brackets with soft texture.	Host association: Predominantly Fagus sylvatica, also Quercus spp. and other broadleaves. Primary infection court: Structural roots and root collar. Decay type: White rot - simultaneous degradation of lignin and cellulose producing pale fibrous residue. Structural implication: Progressive reduction in anchorage stability with increased susceptibility to root plate rotation under dynamic wind loading. Fruiting: Annual - appears late summer to autumn, degrades over winter. Previous fruiting remains (fibrous degraded tissue) may persist as evidence of prior infection. Failure mode: Windthrow predominant.	If exam says bruises brown or black when touched = Meripilus giganteus - no other common species does this. Bruising test is the single most reliable field separation from Grifola. Giganteus = giant size. Remember: Meripilus one-R, giganteus one-G. Rosette + bruising = Meripilus.	meripilus_rosette_bruising
6	YES	Kretzschmaria deusta	Brittle Cinder	No visible root symptoms typically - decay is confined to the stem base not the root system	Grey powdery patches on bark at base progressing to hard black crusty stromata at the stem base, bark loose and peeling, tissue beneath dark and brittle when snapped	Black crusty stromata extending up lower stem, can cover a large proportion of stem circumference, bark detaches exposing black brittle tissue beneath	Extension of stromata may reach 2-3m height in advanced cases	No visible symptoms	Crown thinning and dieback in advanced stages, leaves smaller and reduced vigour - crown condition often masks the severity of stem decay until late stage	Grey to black crusty stromata on the STEM combined with brittle ceramic-like fracture of the wood beneath is characteristic of Kretzschmaria deusta. No other common decay fungus produces this fracture type. Crown condition remains deceptively good until very late in decay progression. Primary infection court is the stem base, not the root system - a critical distinction from most other serious pathogens.	ARMILLARIA: White mycelial fans and rhizomorphs, root-based pathogen, wood retains fibrous fracture characteristics. GANODERMA: Bracket fruiting bodies at base, root decay predominant, wood shows fibrous not brittle fracture. BJERKANDERA: Small thin brackets exclusively on dead tissue, saprophytic, no brittle fracture. DISTINGUISHING KRETZSCHMARIA: Grey to black stromata without bracket or rhizomorph form, brittle fracture in wood (snaps cleanly with no fibrous tearing - distinct from all other common pathogens), stem-based primary infection court, sudden failure potential.	Host association: Wide broadleaf range - Fagus, Fraxinus, Tilia, Acer and others commonly affected. Primary infection court: Stem base, commonly at root collar and lower stem - distinct from root pathogens. Decay type: Soft rot - enzymatic degradation of cell wall layers producing characteristic brittle fracture with no fibrous tearing and minimal residual wall thickness. Structural implication: Progressive loss of compressive strength in buttress and lower stem tissues, leading to longitudinal stem fracture under bending or compressive loading with minimal prior warning. Failure mode: Brittle stem fracture - sudden and catastrophic. Crown condition: Maintained until very late stage, making visual assessment unreliable. Danger assessment: Among the highest of common decay fungi due to sudden failure mode and deceptive crown condition. Progression: Relatively rapid once established at stem base.	GREY TO BLACK CRUST on STEM (not brackets, not bootlaces) = Kretzschmaria deusta. BRITTLE fracture of wood beneath confirms it. Most dangerous common fungus for sudden failure. Remember: Kretzschmaria (K-r-e-t-z - unusual spelling), deusta = burnt (black appearance). Grey stage and black stage are the same fungus at different points in development.	kretzschmaria_black_stromata
7	YES	Fomes fomentarius	Tinder Fungus	No visible root symptoms - primary decay is of stem heartwood not roots	Brackets occasionally present at base but more typically found higher on stem	Perennial hoof-shaped brackets, grey upper surface with concentric grooves, very hard woody texture, multiple brackets at various stem heights	Brackets common on upper stem, hoof form continues, concentric groove pattern consistent throughout	Brackets may appear at larger branch unions in advanced cases	Crown thinning progressive as heartwood decay extends through scaffold branch attachment points	Grey hoof-shaped perennial brackets on STEM rather than base is the key distinction from Ganoderma. Concentric grooves on matte grey surface. Predominantly associated with Fagus. White rot of heartwood progresses slowly. Hard woody bracket texture and matte grey colour separate it from brown Ganoderma species.	GANODERMA AUSTRALE: Brown zoned matte surface not grey, base location predominant not stem, heavy brown spore deposits. PHELLINUS IGNIARIUS: Grey-black not grey, willow host, harder texture. CERIOPORUS SQUAMOSUS: Scaly surface, distinct lateral stalk, cream pores, wound location. DISTINGUISHING FOMES: Grey matte colour, hoof form with concentric grooves, predominantly on stem not base, Fagus association, no spore deposits, very slow growing perennial.	Host association: Predominantly Fagus sylvatica, occasionally Betula and other broadleaves. Primary infection court: Stem at old wounds, branch scars and branch attachment points. Decay type: White rot - simultaneous degradation of lignin and cellulose producing pale fibrous residue within heartwood. Structural implication: Progressive reduction in residual wall thickness of heartwood, increasing risk of stem failure at bracket locations and scaffold branch attachment points. Failure mode: Stem fracture or branch failure at areas of decay concentration. Bracket growth: Perennial - new pore layer added annually, bracket becomes very hard with age. Historical use: Bracket tissue used as tinder (amadou) - gives rise to both the common and Latin names.	GREY hoof on BEECH STEM = Fomes fomentarius. BROWN hoof at BASE = Ganoderma. Location is the key separation - stem not base. Remember: Fomes = tinder (fire starting), fomentarius same root. One-M in Fomes. Grey colour plus beech host = reliable combination.	fomes_fomentarius_grey_hoof
8	YES	Inonotus hispidus	Shaggy Bracket	No visible root symptoms - decay is localised to stem and branch tissue at infection points	No brackets typically at base	Brackets on main stem, rough hairy upper surface, rust-brown colour, soft velvety texture when young becoming harder and darker with age	Brackets common on upper stem at old branch stubs or wounds, irregular bracket form	Brackets at branch attachment points on larger scaffold branches	Localised crown dieback above bracket locations, dead branches evident, thinning in affected sectors above decay zones	Rough hairy bracket surface (hispidus = hairy) combined with rust-brown colour and ash association is characteristic. Appears at branch stubs and wounds on stem and branches rather than at the base. Annual brackets. Localised decay at attachment points with branch dieback above affected areas.	FOMES: Grey not rust-brown, smooth not hairy, perennial, predominantly beech, hoof-shaped. CERIOPORUS SQUAMOSUS: Scaly not hairy, cream pores, distinct lateral stalk, larger overall size. PHELLINUS SPP.: Grey-black, not hairy surface texture. DISTINGUISHING INONOTUS HISPIDUS: Hairy to shaggy surface texture (hispidus = hairy), rust-brown colour, predominantly ash, branch and wound locations not base, annual brackets, causes branch dieback above bracket.	Host association: Predominantly Fraxinus excelsior, also Malus, Juglans and Platanus. Primary infection court: Old wounds, branch stubs and pruning cuts on stem and branches. Decay type: White rot - simultaneous degradation of lignin and cellulose producing pale fibrous residue, localised around infection point. Structural implication: Reduction in residual strength of branch attachment zones and stem tissue at bracket locations, increasing risk of branch failure at the decay interface. Failure mode: Branch drop or stem failure at bracket location. Annual: Degrades over winter - absence of fresh bracket does not confirm absence of decay. Progresses within host tissue between fruiting seasons.	Hairy or shaggy brackets on ASH = Inonotus hispidus. Hispidus literally means hairy or bristly - the name tells you the texture. Ash association key. Remember: Inonotus one-N, hispidus one-S at start and one-D. Hairy texture is the field test.	inonotus_hispidus_hairy
9	YES	Perenniporia fraxinea	Ash Bracket	Root collar shows white rot when probed in advanced cases - structural roots affected progressively	Pale buff to cream coloured perennial brackets at base, concentrically grooved surface, relatively hard texture	Brackets occasionally extend to lower stem	No visible symptoms	No visible symptoms	Progressive crown thinning and reduced vigour over several years as root integrity declines	Pale buff to cream coloured perennial brackets predominantly associated with Fraxinus. White rot of roots and butt. Brackets show concentric growth rings confirming perennial growth. Relatively inconspicuous compared to Ganoderma. Commonly found on veteran ash trees. Smaller and paler than Ganoderma species.	GANODERMA: Brown or grey-brown not pale buff, larger bracket mass, heavier spore deposits, wider host range. CERIOPORUS SQUAMOSUS: Scaly cap, cream pores, distinct lateral stalk, annual. TRAMETES VERSICOLOR: Thin leathery brackets, multicoloured zones, dead wood only. DISTINGUISHING PERENNIPORIA: Pale buff to cream colour (notably paler than Ganoderma), Fraxinus association (fraxinea = of ash), perennial growth, white rot of roots, veteran tree association, smaller and less conspicuous than Ganoderma.	Host association: Predominantly Fraxinus excelsior, occasionally other broadleaves. Primary infection court: Structural roots and root collar. Decay type: White rot - simultaneous degradation of lignin and cellulose producing pale fibrous residue with progressive reduction in root cross-sectional integrity. Structural implication: Reduction in anchorage stability with increased susceptibility to root plate rotation under dynamic loading. Progression: Slower than Armillaria but still significant over time. Association: Commonly found on veteran and ancient ash trees - important in veteran tree assessment. Bracket size: Smaller than Ganoderma at 5-15cm typical, easily overlooked.	Pale buff brackets on ASH = likely Perenniporia fraxinea. Fraxinea directly means of ash (Fraxinus) - the name gives you the host. Less well known than Ganoderma but important on veteran ash. Remember: Perenniporia double-N and double-R, fraxinea one-X. Pale colour plus ash host = key combination.	perenniporia_fraxinea_pale
10	YES	Laetiporus sulphureus	Chicken of the Woods	No visible root symptoms - primary decay is of heartwood in stem and branches	Annual brackets may appear at base of stem but more commonly higher	Bright yellow to orange brackets, soft fleshy texture when fresh, bracket edges bright sulphur yellow, overlapping shelf form	Brackets common on main stem, vibrant colour immediately apparent, multiple overlapping tiers possible	Large brackets can appear at major branch unions	Localised crown dieback and dead branches above bracket locations - tree vigour declining in affected scaffold sections	Bright yellow to orange colour is immediately apparent and strongly indicative - no other common bracket fungus produces this colour. Soft fleshy texture when fresh. Causes brown rot with delamination pattern. Annual brackets appear in summer and degrade over winter. Multiple overlapping shelves.	FOMES: Grey not yellow, hoof form, hard texture, perennial. GANODERMA: Brown not yellow, base location, hard woody texture, perennial. CERIOPORUS SQUAMOSUS: Scaly cap, cream pores, distinct lateral stalk. INONOTUS HISPIDUS: Rust-brown not bright yellow, hairy surface. DISTINGUISHING LAETIPORUS: Bright sulphur yellow to orange colour (unique among common brackets), soft fleshy texture when fresh, brown rot with delamination, annual fruiting, sulphureus = sulphur yellow.	Host association: Wide range - Quercus, Castanea, Robinia, Salix and others. Primary infection court: Wounds, branch stubs and included bark zones on stem and branches. Decay type: Brown rot - preferential cellulose depolymerisation leaving cuboid lignin-rich residue with characteristic cubic cracking pattern and delamination along growth rings. Structural implication: Progressive reduction in residual wall thickness and compressive strength of affected stem and branch tissue, increasing risk of failure at bracket locations. Failure mode: Stem fracture or branch failure at zones of advanced decay. Annual: Bracket degrades over winter - presence of orange staining or degraded tissue may indicate prior fruiting.	BRIGHT YELLOW brackets = Laetiporus sulphureus - no other common bracket is this colour. Unmistakable. Remember: Laetiporus one-T, sulphureus (sulphur = yellow - the name is the clue). Annual - appears summer, degrades by autumn.	laetiporus_bright_yellow
